Date,ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020/10/16,l867969,16 Whispering Pine Tr,Whispering Pine Tr,Aurora Heights,Aurora,"$3,088,000",5 baths,3+2 beds,https://aurora.listing.ca/16-whispering-pine-tr.N4934015.htm#9h-2j
2020/10/16,l867470,93 Spring Farm Rd,Spring Farm Rd,Bayview Northeast,Aurora,"$1,199,800",3 baths,4 beds,https://aurora.listing.ca/93-spring-farm-rd.N4933890.htm#9h-2k
2020/10/16,l867451,74 Seaton Dr,Seaton Dr,Aurora Highlands,Aurora,"$1,139,000",4 baths,3 beds,https://aurora.listing.ca/74-seaton-dr.N4933666.htm#9h-2l
2020/10/16,l867247,180 John West Way 225,John West Way,Bayview Wellington,Aurora,"$689,000",2 baths,2+1 beds,https://aurora.listing.ca/180-john-west-way-225.N4933589.htm#9h-2m
2020/10/16,l867245,64 Wells St 209,Wells St,Aurora Village,Aurora,"$1,199,000",2 baths,2 beds,https://aurora.listing.ca/64-wells-st-209.N4933427.htm#9h-2n
2020/10/16,l866691,5 Lensmith Dr,Lensmith Dr,Aurora Highlands,Aurora,"$1,799,000",5 baths,4+1 beds,https://aurora.listing.ca/5-lensmith-dr.N4933017.htm#9h-2o
2020/10/16,l866657,333 Thomas Philips Dr,Thomas Philips Dr,Rural Aurora,Aurora,"$1,538,000",5 baths,4 beds,https://aurora.listing.ca/333-thomas-philips-dr.N4932681.htm#9h-2p
2020/10/16,l866463,400 Alex Gardner Circ 68,Alex Gardner Circ,Aurora Heights,Aurora,"$689,000",3 baths,2 beds,https://aurora.listing.ca/400-alex-gardner-circ-68.N4932670.htm#9h-2q
2020/10/16,l866455,14924 Yonge St 324,Yonge St,Aurora Highlands,Aurora,"$899,000",2 baths,3 beds,https://aurora.listing.ca/14924-yonge-st-324.N4932453.htm#9h-2r
2020/10/16,l866167,1 Blue Grass Dr,Blue Grass Dr,Aurora Estates,Aurora,"$2,788,000",5 baths,4 beds,https://aurora.listing.ca/1-blue-grass-dr.N4932179.htm#9h-2s
2020/10/16,l865767,35 Hammond Dr,Hammond Dr,Aurora Heights,Aurora,"$1,288,000",4 baths,4+2 beds,https://aurora.listing.ca/35-hammond-dr.N4931740.htm#9h-2t
2020/10/16,l865393,17 Steckley St,Steckley St,Bayview Wellington,Aurora,"$795,000",3 baths,3 beds,https://aurora.listing.ca/17-steckley-st.N4931423.htm#9h-2u
2020/10/16,l865367,11 Vines Pl,Vines Pl,Bayview Southeast,Aurora,"$1,758,000",6 baths,4+2 beds,https://aurora.listing.ca/11-vines-pl.N4931009.htm#9h-2v
2020/10/16,l864884,13 Webster Dr,Webster Dr,Aurora Highlands,Aurora,"$878,000",3 baths,2+2 beds,https://aurora.listing.ca/13-webster-dr.N4930553.htm#9h-2w
2020/10/16,l864882,96 Temperance St,Temperance St,Aurora Village,Aurora,"$1,200,000",4 baths,3 beds,https://aurora.listing.ca/96-temperance-st.N4930539.htm#9h-2x
2020/10/16,l864429,48 Kennedy St,Kennedy St,Aurora Village,Aurora,"$2,780,000",6 baths,5+1 beds,https://aurora.listing.ca/48-kennedy-st.N4930057.htm#9h-2y
2020/10/16,l864387,111 Civic Square Gate 207,Civic Square Gate,Bayview Wellington,Aurora,"$699,900",2 baths,2 beds,https://aurora.listing.ca/111-civic-square-gate-207.N4930093.htm#9h-2z
2020/10/16,l864170,66 Casemount St,Casemount St,Bayview Northeast,Aurora,"$1,198,000",3 baths,4 beds,https://aurora.listing.ca/66-casemount-st.N4929673.htm#9h-30
2020/10/16,l864045,555 William Graham Dr Ph425,William Graham Dr,Rural Aurora,Aurora,"$580,000",1 baths,1+1 beds,https://aurora.listing.ca/555-william-graham-dr-ph425.N4929639.htm#9h-31
2020/10/16,l863190,200 Alex Gardner Circ 20,Alex Gardner Circ,Aurora Heights,Aurora,"$684,900",3 baths,2 beds,https://aurora.listing.ca/200-alex-gardner-circ-20.N4928445.htm#9h-32
2020/10/16,l862787,25 Underhill Cres,Underhill Cres,Aurora Highlands,Aurora,"$1,278,888",3 baths,2+2 beds,https://aurora.listing.ca/25-underhill-cres.N4928165.htm#9h-33
