ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020-10-17,l882293,22 Rossini Dr,Rossini Dr,Oak Ridges,Richmond Hill,$1550000,6 baths,4+1 beds,https://richmond-hill.listing.ca/22-rossini-dr.N4951619.htm#1-2c
2020-10-17,l882271,77 Richmond St,Richmond St,Mill Pond,Richmond Hill,$1498000,4 baths,4+1 beds,https://richmond-hill.listing.ca/77-richmond-st.N4951129.htm#1-2d
2020-10-17,l881936,71 Centre St,Centre St,Crosby,Richmond Hill,$1349900,3 baths,3+1 beds,https://richmond-hill.listing.ca/71-centre-st.N4950784.htm#1-2e
2020-10-17,l881926,349 Sugar Maple Lane,Sugar Maple Lane,Mill Pond,Richmond Hill,$1635000,3 baths,3+1 beds,https://richmond-hill.listing.ca/349-sugar-maple-lane.N4950662.htm#1-2f
2020-10-17,l881896,5 Long Hill Dr,Long Hill Dr,Jefferson,Richmond Hill,$2799000,7 baths,5+3 beds,https://richmond-hill.listing.ca/5-long-hill-dr.N4950289.htm#1-2g
2020-10-17,l881894,72 Brookside Rd,Brookside Rd,Westbrook,Richmond Hill,$1750000,4 baths,4 beds,https://richmond-hill.listing.ca/72-brookside-rd.N4901776.htm#1-2h
2020-10-17,l881692,39 Oneida Cres 416,Oneida Cres,Langstaff,Richmond Hill,$468800,1 baths,2 beds,https://richmond-hill.listing.ca/39-oneida-cres-416.N4951700.htm#1-2i
2020-10-17,l881688,9201 Yonge St Nw1501,Yonge St,Langstaff,Richmond Hill,$555000,1 baths,1+1 beds,https://richmond-hill.listing.ca/9201-yonge-st-nw1501.N4951589.htm#1-2j
2020-10-17,l881683,80 Mccallum Dr 21,Mccallum Dr,North Richvale,Richmond Hill,$980000,3 baths,3 beds,https://richmond-hill.listing.ca/80-mccallum-dr-21.N4951502.htm#1-2k
2020-10-17,l881344,23 Oneida Cres 302,Oneida Cres,Langstaff,Richmond Hill,$494500,1 baths,2 beds,https://richmond-hill.listing.ca/23-oneida-cres-302.N4950677.htm#1-2l
2020-10-17,l881093,208 Kingshill Rd,Kingshill Rd,Oak Ridges,Richmond Hill,$1375000,4 baths,4 beds,https://richmond-hill.listing.ca/208-kingshill-rd.N4950146.htm#1-2m
2020-10-17,l881075,370 Red Maple Rd 93,Red Maple Rd,Langstaff,Richmond Hill,$925000,3 baths,3 beds,https://richmond-hill.listing.ca/370-red-maple-rd-93.N4950228.htm#1-2n
2020-10-17,l880913,9471 Yonge St 1202,Yonge St,Observatory,Richmond Hill,$599000,2 baths,2 beds,https://richmond-hill.listing.ca/9471-yonge-st-1202.N4950017.htm#1-2o
2020-10-17,l880849,53 Puccini Dr,Puccini Dr,Oak Ridges,Richmond Hill,$1899000,6 baths,4+1 beds,https://richmond-hill.listing.ca/53-puccini-dr.N4949942.htm#1-2p
2020-10-17,l880848,66 Springhead Gdns,Springhead Gdns,North Richvale,Richmond Hill,$990000,3 baths,4 beds,https://richmond-hill.listing.ca/66-springhead-gdns.N4949935.htm#1-2q
2020-10-17,l880847,329 Atha Ave,Atha Ave,Harding,Richmond Hill,$1298000,4 baths,4+2 beds,https://richmond-hill.listing.ca/329-atha-ave.N4949926.htm#1-2r
2020-10-17,l880771,63 Wildwood Ave,Wildwood Ave,Oak Ridges Lake Wilcox,Richmond Hill,$849000,2 baths,4 beds,https://richmond-hill.listing.ca/63-wildwood-ave.N4949885.htm#1-2s
2020-10-17,l880767,89 Aloe Ave,Aloe Ave,Oak Ridges Lake Wilcox,Richmond Hill,$1150000,4 baths,3+1 beds,https://richmond-hill.listing.ca/89-aloe-ave.N4949801.htm#1-2t
2020-10-17,l880764,417 Carrville Rd,Carrville Rd,South Richvale,Richmond Hill,$1699000,4 baths,4+2 beds,https://richmond-hill.listing.ca/417-carrville-rd.N4949774.htm#1-2u
2020-10-17,l880573,32 Winterport Crt,Winterport Crt,South Richvale,Richmond Hill,$2498800,6 baths,4+2 beds,https://richmond-hill.listing.ca/32-winterport-crt.N4949660.htm#1-2v
2020-10-17,l880523,65 Oneida Cres 1207,Oneida Cres,Langstaff,Richmond Hill,$528800,1 baths,1+1 beds,https://richmond-hill.listing.ca/65-oneida-cres-1207.N4949620.htm#1-2w
2020-10-17,l880417,96 Rollinghill Rd,Rollinghill Rd,Jefferson,Richmond Hill,$1988000,4 baths,5 beds,https://richmond-hill.listing.ca/96-rollinghill-rd.N4949532.htm#1-2x
2020-10-17,l880412,149 Stave Cres,Stave Cres,Westbrook,Richmond Hill,$1398000,5 baths,4+2 beds,https://richmond-hill.listing.ca/149-stave-cres.N4949511.htm#1-2y
2020-10-17,l880394,42 Bond Cres,Bond Cres,Oak Ridges,Richmond Hill,$3999000,4 baths,3 beds,https://richmond-hill.listing.ca/42-bond-cres.N4949348.htm#1-2z
2020-10-17,l880393,18 Belvedere Cres,Belvedere Cres,Crosby,Richmond Hill,$998800,3 baths,3 beds,https://richmond-hill.listing.ca/18-belvedere-cres.N4949327.htm#1-30
2020-10-17,l880323,73 King William Cres 808,King William Cres,Langstaff,Richmond Hill,$499000,1 baths,1+1 beds,https://richmond-hill.listing.ca/73-king-william-cres-808.N4949460.htm#1-31
2020-10-17,l880080,326 Major Mackenzie Dr 301,Major Mackenzie Dr,Crosby,Richmond Hill,$539500,2 baths,2+1 beds,https://richmond-hill.listing.ca/326-major-mackenzie-dr-301.N4949203.htm#1-32
2020-10-17,l880025,24 Firwood Dr,Firwood Dr,Westbrook,Richmond Hill,$979000,3 baths,4+1 beds,https://richmond-hill.listing.ca/24-firwood-dr.N4949040.htm#1-33
2020-10-17,l880022,17 Nightstar Dr,Nightstar Dr,Observatory,Richmond Hill,$859000,3 baths,3 beds,https://richmond-hill.listing.ca/17-nightstar-dr.N4949024.htm#1-34
2020-10-17,l880021,8 Barnwood Dr,Barnwood Dr,Oak Ridges Lake Wilcox,Richmond Hill,$969000,4 baths,4 beds,https://richmond-hill.listing.ca/8-barnwood-dr.N4949020.htm#1-35
2020-10-17,l880003,30 Harding Blvd 217,Harding Blvd,North Richvale,Richmond Hill,$799000,2 baths,2+1 beds,https://richmond-hill.listing.ca/30-harding-blvd-217.N4949007.htm#1-36
2020-10-17,l879621,2 Cheshire Pl,Cheshire Pl,South Richvale,Richmond Hill,$2388000,6 baths,5+1 beds,https://richmond-hill.listing.ca/2-cheshire-pl.N4948579.htm#1-37
2020-10-17,l879620,200 Paradelle Dr,Paradelle Dr,Oak Ridges Lake Wilcox,Richmond Hill,$1098000,3 baths,4 beds,https://richmond-hill.listing.ca/200-paradelle-dr.N4948577.htm#1-38
2020-10-17,l879611,26 Hillholm Blvd,Hillholm Blvd,Bayview Hill,Richmond Hill,$2888000,5 baths,5+2 beds,https://richmond-hill.listing.ca/26-hillholm-blvd.N4948431.htm#1-39
2020-10-17,l879607,37 Regatta Ave,Regatta Ave,Oak Ridges,Richmond Hill,$2289000,5 baths,4 beds,https://richmond-hill.listing.ca/37-regatta-ave.N4948397.htm#1-3a
2020-10-17,l879604,61 Moray Ave,Moray Ave,Oak Ridges Lake Wilcox,Richmond Hill,$2189500,6 baths,4+1 beds,https://richmond-hill.listing.ca/61-moray-ave.N4948369.htm#1-3b
2020-10-17,l879585,10516 Bayview Ave,Bayview Ave,Crosby,Richmond Hill,$999000,1 baths,3 beds,https://richmond-hill.listing.ca/10516-bayview-ave.N4948088.htm#1-3c
2020-10-17,l879401,11 Oneida Cres 212,Oneida Cres,Langstaff,Richmond Hill,$519000,1 baths,2 beds,https://richmond-hill.listing.ca/11-oneida-cres-212.N4948477.htm#1-3d
2020-10-17,l879395,75 King William Cres Lph5,King William Cres,Langstaff,Richmond Hill,$479000,1 baths,1 beds,https://richmond-hill.listing.ca/75-king-william-cres-lph5.N4948276.htm#1-3e
2020-10-17,l879019,8 Coral Cres,Coral Cres,Oak Ridges,Richmond Hill,$1180000,3 baths,4 beds,https://richmond-hill.listing.ca/8-coral-cres.N4947623.htm#1-3f
2020-10-17,l879009,85 Mccallum Dr,Mccallum Dr,North Richvale,Richmond Hill,$1386000,5 baths,4+1 beds,https://richmond-hill.listing.ca/85-mccallum-dr.N4947490.htm#1-3g
2020-10-17,l878998,179 Carrington Dr,Carrington Dr,Mill Pond,Richmond Hill,$1798000,6 baths,5+1 beds,https://richmond-hill.listing.ca/179-carrington-dr.N4947384.htm#1-3h
2020-10-17,l878830,9201 Yonge St 511,Yonge St,Langstaff,Richmond Hill,$558000,1 baths,1+1 beds,https://richmond-hill.listing.ca/9201-yonge-st-511.N4947864.htm#1-3i
