ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020-10-17,l886673,269 Heath St,Heath St,Rosedale-Moore Park,Toronto,$3599000,4 baths,4+2 beds,https://toronto.listing.ca/269-heath-st.C4956905.htm#15-28
2020-10-17,l886671,10 Adamede Cres,Adamede Cres,Bayview Woods-Steeles,Toronto,$1529000,3 baths,4+2 beds,https://toronto.listing.ca/10-adamede-cres.C4956833.htm#15-29
2020-10-17,l886668,58 Ashbury Ave,Ashbury Ave,Oakwood-Vaughan,Toronto,$1099000,3 baths,4 beds,https://toronto.listing.ca/58-ashbury-ave.C4956744.htm#15-2a
2020-10-17,l886667,508 Bathurst St,Bathurst St,Palmerston-Little Italy,Toronto,$1199000,3 baths,9+1 beds,https://toronto.listing.ca/508-bathurst-st.C4956732.htm#15-2b
2020-10-17,l886666,32 Gilgorm Rd,Gilgorm Rd,Forest Hill North,Toronto,$1759000,2 baths,2+1 beds,https://toronto.listing.ca/32-gilgorm-rd.C4956730.htm#15-2c
2020-10-17,l886663,39 Perth Ave,Perth Ave,Dufferin Grove,Toronto,$1299000,5 baths,3+1 beds,https://toronto.listing.ca/39-perth-ave.C4956547.htm#15-2d
2020-10-17,l886660,24 Garthdale Crt,Garthdale Crt,Bathurst Manor,Toronto,$1095000,3 baths,5 beds,https://toronto.listing.ca/24-garthdale-crt.C4956513.htm#15-2e
2020-10-17,l886657,524 Markham St,Markham St,Palmerston-Little Italy,Toronto,$2249000,4 baths,4+1 beds,https://toronto.listing.ca/524-markham-st.C4956005.htm#15-2f
2020-10-17,l886656,101 Seaton St,Seaton St,Moss Park,Toronto,$1149000,2 baths,4 beds,https://toronto.listing.ca/101-seaton-st.C4952575.htm#15-2g
2020-10-17,l886640,35 Viking Lane 842,Viking Lane,Islington-City Centre West,Toronto,$669900,2 baths,2 beds,https://toronto.listing.ca/35-viking-lane-842.W4957282.htm#15-2h
2020-10-17,l886627,200 Lotherton Ptwy 910,Lotherton Ptwy,Yorkdale-Glen Park,Toronto,$318000,1 baths,2 beds,https://toronto.listing.ca/200-lotherton-ptwy-910.W4957121.htm#15-2i
2020-10-17,l886626,6 Eva Rd 2311,Eva Rd,Etobicoke West Mall,Toronto,$469000,1 baths,1+1 beds,https://toronto.listing.ca/6-eva-rd-2311.W4957113.htm#15-2j
2020-10-17,l886625,1185 The Queensway Ave 522,The Queensway Ave,Islington-City Centre West,Toronto,$539900,1 baths,1+1 beds,https://toronto.listing.ca/1185-the-queensway-ave-522.W4957110.htm#15-2k
2020-10-17,l886624,61 Heintzman St 904,Heintzman St,Junction Area,Toronto,$549900,1 baths,1 beds,https://toronto.listing.ca/61-heintzman-st-904.W4957104.htm#15-2l
2020-10-17,l886615,40 Panorama Crt 1708,Panorama Crt,Mount Olive-Silverstone-Jamestown,Toronto,$369900,1 baths,2 beds,https://toronto.listing.ca/40-panorama-crt-1708.W4957021.htm#15-2m
2020-10-17,l886605,1 Neighbourhood Lane 107,Neighbourhood Lane,Stonegate-Queensway,Toronto,$560000,1 baths,1+1 beds,https://toronto.listing.ca/1-neighbourhood-lane-107.W4956890.htm#15-2n
2020-10-17,l886602,22 Allanhurst Dr 306,Allanhurst Dr,Edenbridge-Humber Valley,Toronto,$389000,1 baths,1 beds,https://toronto.listing.ca/22-allanhurst-dr-306.W4956864.htm#15-2o
2020-10-17,l886591,1 Neighbourhood Lane 407,Neighbourhood Lane,Stonegate-Queensway,Toronto,$628000,2 baths,2 beds,https://toronto.listing.ca/1-neighbourhood-lane-407.W4956759.htm#15-2p
2020-10-17,l886569,15 Viking Lane 2908,Viking Lane,Islington-City Centre West,Toronto,$735000,2 baths,2+1 beds,https://toronto.listing.ca/15-viking-lane-2908.W4956650.htm#15-2q
2020-10-17,l886566,47 Lexington Ave 7,Lexington Ave,West Humber-Clairville,Toronto,$599900,2 baths,4+1 beds,https://toronto.listing.ca/47-lexington-ave-7.W4956638.htm#15-2r
2020-10-17,l886563,65 George Appleton Way 2069,George Appleton Way,Downsview-Roding-CFB,Toronto,$455000,1 baths,1 beds,https://toronto.listing.ca/65-george-appleton-way-2069.W4956609.htm#15-2s
2020-10-17,l886529,2301 Danforth Ave 319,Danforth Ave,East End-Danforth,Toronto,$569000,1 baths,1+1 beds,https://toronto.listing.ca/2301-danforth-ave-319.E4957247.htm#15-2t
2020-10-17,l886528,195 Bonis Ave 1807,Bonis Ave,Tam O'Shanter-Sullivan,Toronto,$565000,2 baths,2 beds,https://toronto.listing.ca/195-bonis-ave-1807.E4957219.htm#15-2u
2020-10-17,l886527,2500 Bridletowne Circ 401,Bridletowne Circ,L'Amoreaux,Toronto,$394800,1 baths,2 beds,https://toronto.listing.ca/2500-bridletowne-circ-401.E4957198.htm#15-2v
2020-10-17,l886526,151 Village Green Sq 710,Village Green Sq,Agincourt South-Malvern West,Toronto,$398000,1 baths,1 beds,https://toronto.listing.ca/151-village-green-sq-710.E4957195.htm#15-2w
2020-10-17,l886523,401 Sewells Rd 53,Sewells Rd,Rouge E11,Toronto,$675000,3 baths,3 beds,https://toronto.listing.ca/401-sewells-rd-53.E4956969.htm#15-2x
2020-10-17,l886522,8 Lee Centre Dr 303,Lee Centre Dr,Woburn,Toronto,$474800,2 baths,2 beds,https://toronto.listing.ca/8-lee-centre-dr-303.E4956895.htm#15-2y
2020-10-17,l886521,90 Ling Rd 604,Ling Rd,West Hill,Toronto,$439900,2 baths,2+1 beds,https://toronto.listing.ca/90-ling-rd-604.E4956892.htm#15-2z
2020-10-17,l886516,284 Bloor St 608,Bloor St,Annex,Toronto,$698000,1 baths,2 beds,https://toronto.listing.ca/284-bloor-st-608.C4957335.htm#15-30
2020-10-17,l886513,720 Spadina Ave 1011,Spadina Ave,University,Toronto,$329900,1 baths,0 beds,https://toronto.listing.ca/720-spadina-ave-1011.C4957324.htm#15-31
2020-10-17,l886510,955 Bay St 1509,Bay St,Bay Street Corridor,Toronto,$939000,2 baths,2+1 beds,https://toronto.listing.ca/955-bay-st-1509.C4957317.htm#15-32
2020-10-17,l886507,591 Sheppard Ave 826,Sheppard Ave,Bayview Village,Toronto,$559000,1 baths,1+1 beds,https://toronto.listing.ca/591-sheppard-ave-826.C4957301.htm#15-33
2020-10-17,l886506,45 Carlton St 1008,Carlton St,Cabbagetown-South St. James Town,Toronto,$829900,2 baths,2+2 beds,https://toronto.listing.ca/45-carlton-st-1008.C4957296.htm#15-34
